Dato	Tid	Rom	Emnekode	Beskrivelse	Lærer
17.08.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
24.08.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
31.08.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
07.09.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
14.09.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
21.09.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
28.09.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
05.10.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
12.10.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
19.10.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
26.10.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
02.11.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
09.11.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
16.11.2020	13:15-15:00		BED-2056-1	Forelesninger TromsøForelesning Zoom	Ø. Myrland
